cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,choice_pain.stopped,Choice.stopped,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,0,0,3,,,,,,,,,,,,,38.54699880000044,276.70520560000296,279.0874223999999,4.2,280.46333680000316,284.67002180000054,284.6712744200006,0.30345089999900665,285.10896649999995,285.10896649999995,n,1.3580428999957803,289.45720580000125,289.45720580000125,17,2.896,,,,,sub-055,70,110,700,bloc_loop.csv,2023-10-02_17h06.21.632,PainUncertainty,2022.2.5,144.25955178106494,
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,4.7,289.45720580000125,294.1600178000008,294.16549222000253,0.2993654999991122,294.5970963,294.5970963,n,1.9117792999968515,300.5830030000034,300.5830030000034,0,4.01,,,,,sub-055,70,110,700,bloc_loop.csv,2023-10-02_17h06.21.632,PainUncertainty,2022.2.5,144.25955178106494,
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,3.7,300.5830030000034,304.28481410000313,304.2849553600005,0.3051121999997122,304.7320772000021,304.7320772000021,n,1.1764637000014773,309.56844600000113,309.56844600000113,9,3.58,,,,,sub-055,70,110,700,bloc_loop.csv,2023-10-02_17h06.21.632,PainUncertainty,2022.2.5,144.25955178106494,
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,3.5,309.56844600000113,313.07087150000007,313.0708337600023,0.3051251999968372,313.5149539000013,313.5149539000013,None,,319.1805282000023,319.1805282000023,44,3.198,315.98259959999996,315.98259959999996,,,sub-055,70,110,700,bloc_loop.csv,2023-10-02_17h06.21.632,PainUncertainty,2022.2.5,144.25955178106494,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,1,,,,,,,,4.1,451.3216997000018,455.42137900000307,455.42168746000027,0.30030579999947804,455.8659750000006,455.8659750000006,None,,460.43362310000157,460.43362310000157,42,2.046,458.3329854000003,458.3329854000003,,,sub-055,70,110,700,bloc_loop.csv,2023-10-02_17h06.21.632,PainUncertainty,2022.2.5,144.25955178106494,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,6,,,,,,,,3.2,460.43362310000157,463.6374381000023,463.63741746000017,0.30490110000027926,464.0815853000022,464.0815853000022,None,,468.4105767000001,468.4105767000001,0,1.831,466.55001200000333,466.55001200000333,,,sub-055,70,110,700,bloc_loop.csv,2023-10-02_17h06.21.632,PainUncertainty,2022.2.5,144.25955178106494,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,8,,,,,,,,3.8,468.4105767000001,472.2150821000032,472.21544596000024,0.2993430000024091,472.6595840000009,472.6595840000009,n,1.2033926999974938,475.52439080000113,475.52439080000113,1,1.587,,,,,sub-055,70,110,700,bloc_loop.csv,2023-10-02_17h06.21.632,PainUncertainty,2022.2.5,144.25955178106494,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,11,,,,,,,,3.1,475.52439080000113,478.6252404000006,478.6252448600004,0.3052778999990551,479.0696930000013,479.0696930000013,None,,483.9649298000004,483.9649298000004,35,2.378,481.53780259999985,481.53780259999985,,,sub-055,70,110,700,bloc_loop.csv,2023-10-02_17h06.21.632,PainUncertainty,2022.2.5,144.25955178106494,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,10,,,,,,,,3.1,483.9649298000004,487.0707824000019,487.0709116600025,0.304876800000784,487.5150410000024,487.5150410000024,n,0.9125647999971989,489.7693158000002,489.7693158000002,7,1.268,,,,,sub-055,70,110,700,bloc_loop.csv,2023-10-02_17h06.21.632,PainUncertainty,2022.2.5,144.25955178106494,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,3,,,,,,,,4,489.7693158000002,493.7729526000003,493.77301496000075,0.30514839999887045,494.2175623000003,494.2175623000003,None,,498.43401630000153,498.43401630000153,42,1.69,496.6856544000002,496.6856544000002,,,sub-055,70,110,700,bloc_loop.csv,2023-10-02_17h06.21.632,PainUncertainty,2022.2.5,144.25955178106494,
