cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,0,0,2,,,,,,,,,,,,,24.319340999994893,31.26770129999204,32.483103499995195,3.2,33.16084620000038,36.36540129999048,36.36540562999435,0.2990431000071112,36.808279899996705,36.808279899996705,n,0.7765389999985928,40.536064699990675,40.536064699990675,4,2.869,,,sub-053,15,40,700,bloc_loop.csv,2023-09-24_11h21.15.574,PainUncertainty,2022.2.5,143.97479867723538,
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,4.9,40.536064699990675,45.43609399998968,45.43601832999557,0.3051954999973532,45.880294199989294,45.880294199989294,m,1.2551100999990012,49.06912279999233,49.06912279999233,30,1.859,,,sub-053,15,40,700,bloc_loop.csv,2023-09-24_11h21.15.574,PainUncertainty,2022.2.5,143.97479867723538,
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,3.5,49.06912279999233,52.56890419998672,52.568921829989996,0.30545109999366105,53.01785539998673,53.01785539998673,None,,60.14028429999598,60.14028429999598,3,4.608,,,sub-053,15,40,700,bloc_loop.csv,2023-09-24_11h21.15.574,PainUncertainty,2022.2.5,143.97479867723538,
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,4,60.14028429999598,64.13997359998757,64.1398265299882,0.3048501000012038,64.58617239999876,64.58617239999876,m,1.2794681999948807,69.16607559999102,69.16607559999102,27,3.275,,,sub-053,15,40,700,bloc_loop.csv,2023-09-24_11h21.15.574,PainUncertainty,2022.2.5,143.97479867723538,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,4,,,,,,,,4.8,81.67985429998953,86.48272319999523,86.48275932999385,0.3048026000033133,86.9269268999924,86.9269268999924,m,0.72644680000667,88.55130209999334,88.55130209999334,30,0.814,,,sub-053,15,40,700,bloc_loop.csv,2023-09-24_11h21.15.574,PainUncertainty,2022.2.5,143.97479867723538,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,9,,,,,,,,3.7,88.55130209999334,92.25460219998786,92.25453212999273,0.30515960000047926,92.70033599999442,92.70033599999442,n,1.2335246000002371,97.22437489998993,97.22437489998993,4,3.233,,,sub-053,15,40,700,bloc_loop.csv,2023-09-24_11h21.15.574,PainUncertainty,2022.2.5,143.97479867723538,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,8,,,,,,,,4.1,97.22437489998993,101.32477659999859,101.32481602999323,0.3051380999968387,101.77332079999906,101.77332079999906,n,0.6255246000073384,106.82777269999497,106.82777269999497,3,4.365,,,sub-053,15,40,700,bloc_loop.csv,2023-09-24_11h21.15.574,PainUncertainty,2022.2.5,143.97479867723538,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,7,,,,,,,,4.6,106.82777269999497,111.43002899999556,111.430060029999,0.3051351999893086,111.87421789999644,111.87421789999644,n,0.5177261999924667,116.12704189999204,116.12704189999204,4,3.67,,,sub-053,15,40,700,bloc_loop.csv,2023-09-24_11h21.15.574,PainUncertainty,2022.2.5,143.97479867723538,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,6,,,,,,,,3,116.12704189999204,119.13235770000028,119.13226752999762,0.30095560000336263,119.57681859999138,119.57681859999138,n,1.0234574000060093,124.21347149999929,124.21347149999929,5,3.538,,,sub-053,15,40,700,bloc_loop.csv,2023-09-24_11h21.15.574,PainUncertainty,2022.2.5,143.97479867723538,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,11,,,,,,,,4.3,124.21347149999929,128.5155425999983,128.51553252999437,0.29985140000644606,128.9603483999963,128.9603483999963,m,0.8104142000083812,132.4725752999948,132.4725752999948,28,2.643,,,sub-053,15,40,700,bloc_loop.csv,2023-09-24_11h21.15.574,PainUncertainty,2022.2.5,143.97479867723538,
