cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,key_resp_3.started,key_resp_6.started,choice_pain.stopped,Choice.stopped,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,0,0,2,,,,,,,,,,,,,24.57391879998613,215.53644009999698,256.12449640000705,3.4,264.99030070001027,268.3945448999875,268.39697691997276,0.30471709999255836,268.83406680001644,268.83406680001644,n,2.0281110999640077,275.8824554000166,275.8824554000166,13,4.948,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,3.7,275.8824554000166,279.5861514999997,279.586011259997,0.30529180000303313,280.0322586999973,280.0322586999973,m,1.6182502000010572,285.32890730001964,285.32890730001964,78,3.593,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,4.5,285.32890730001964,289.8300013000262,289.8302098600019,0.3048836999805644,290.276703600015,290.276703600015,n,1.2459669999661855,293.14394789998187,293.14394789998187,20,1.538,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,3.5,293.14394789998187,296.6434415000258,296.6435211600095,0.3052625999553129,297.0921765000094,297.0921765000094,m,0.9009849000140093,299.56560299999546,299.56560299999546,90,1.546,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,5,,,,,,,,4.9,336.90345019998495,341.80879340000683,341.8088427599927,0.3053141999989748,342.2565540000214,342.2565540000214,n,1.1051962999626994,345.24513419996947,345.24513419996947,15,1.802,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,2,,,,,,,,3.6,345.24513419996947,348.8457876999746,348.84426246001965,0.30043790000490844,349.28897130000405,349.28897130000405,m,0.981206199969165,353.10581939999247,353.10581939999247,75,2.767,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,7,,,,,,,,3.7,353.10581939999247,356.81023730000015,356.8103067600226,0.30499309999868274,357.25834689999465,357.25834689999465,n,0.9578809000086039,362.3931429000222,362.3931429000222,12,4.101,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,3.4,362.3931429000222,365.79758299997775,365.7976354599872,0.3049445999786258,366.2420274000033,366.2420274000033,m,1.2636790000251494,370.17533300002106,370.17533300002106,77,2.609,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,1,,,,,,,,5,370.17533300002106,375.18064179999055,375.1805237599823,0.29941719997441396,375.619060099998,375.619060099998,m,1.5955434000352398,379.1743145000073,379.1743145000073,74,1.886,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,6,,,,,,,,4.6,379.1743145000073,383.77892780001275,383.7789499600243,0.3049654000205919,384.2233030999778,384.2233030999778,n,1.0104906000196934,387.3408509999863,387.3408509999863,16,2.025,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,6,6,0,,,,,,,,3.6,387.3408509999863,390.94668079999974,390.94664256001704,0.30524170002900064,391.3944048000267,391.3944048000267,m,1.1579043999663554,394.54850689996965,394.54850689996965,74,1.92,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,7,7,10,,,,,,,,4.5,394.54850689996965,399.0514622000046,399.05148125999256,0.3050527999876067,399.49573530000634,399.49573530000634,n,0.876011100015603,403.0018640999915,403.0018640999915,16,2.567,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,8,8,8,,,,,,,,4.1,403.0018640999915,407.1011576000019,407.1010882600152,0.30492089997278526,407.54556469997624,407.54556469997624,n,1.325791899987962,412.2396187999984,412.2396187999984,11,3.297,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,9,9,4,,,,,,,,3.9,412.2396187999984,416.1438371000113,416.14388096001346,0.30491879995679483,416.5879734000191,416.5879734000191,m,0.9447508999728598,419.40007099998184,419.40007099998184,78,1.795,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,10,10,9,,,,,,,,3.9,419.40007099998184,423.30440219998127,423.30448435998403,0.30500340001890436,423.7487683999934,423.7487683999934,n,1.6755230000126176,427.7272255999851,427.7272255999851,8,2.217,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,11,11,11,,,,,,,,4.4,427.7272255999851,432.13226149999537,432.1324451600143,0.3050320000038482,432.57682680001017,432.57682680001017,m,1.4120391000178643,438.0657097999938,438.0657097999938,83,4.025,,,,,sub-060,55,90,700,bloc_loop.csv,2023-10-19_09h26.37.210,PainUncertainty,2022.2.5,143.8430844133359,
