cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
aigu,forte,stimuli/660Hz,stimuli/forte,,,,,,,,0,0,0,3,,,,,,,,,,,,,58.412066799995955,70.75486960000126,334.8144808999932,4.6,338.34383489999163,342.9536442999961,342.95474849999005,0.29948039998998865,343.39236959999835,343.39236959999835,m,0.9644056999968598,351.3604323000036,351.3604323000036,22,6.931,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
aigu,moderee,stimuli/660Hz,stimuli/moderee,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,3.7,351.3604323000036,355.0621587999922,355.0603692499993,0.30092519999016076,355.50483160000294,355.50483160000294,n,0.1548670000047423,363.6647837999917,363.6647837999917,7,7.942,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
grave,moderee,stimuli/330Hz,stimuli/moderee,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,5,363.6647837999917,368.6689278999984,368.6663369500005,0.301760699992883,369.11034590000054,369.11034590000054,n,0.6661233000049833,377.4068671999994,377.4068671999994,9,7.573,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
grave,forte,stimuli/330Hz,stimuli/forte,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,4.9,377.4068671999994,382.3063761999947,382.3063529499908,0.3051710999861825,382.75057239999296,382.75057239999296,m,0.652970600000117,389.4442210999987,389.4442210999987,21,6.018,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,0,0,8,,,,,,,,4.2,516.1872348999896,520.3930398999946,520.3941569500006,0.3037163999979384,520.8368974999903,520.8368974999903,n,0.6063029000069946,524.7973266999907,524.7973266999907,12,3.295,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,1,1,6,,,,,,,,4.9,524.7973266999907,529.6998468999955,529.6998125499944,0.3047671999956947,530.1436500999989,530.1436500999989,n,0.5881393000017852,533.9066321999999,533.9066321999999,11,3.114,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,2,2,11,,,,,,,,4.1,533.9066321999999,538.005935299996,538.0060622500008,0.30551930000365246,538.450903399993,538.450903399993,m,0.5954560999962268,543.4769359999918,543.4769359999918,19,4.378,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,3,3,5,,,,,,,,4.6,543.4769359999918,548.0785628000012,548.0768897499933,0.3050100999971619,548.5207698000013,548.5207698000013,n,0.6067678999970667,551.5650824999902,551.5650824999902,10,2.372,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,4,4,2,,,,,,,,4.9,551.5650824999902,556.4671653999976,556.4668311499976,0.30484929999511223,556.9107461999956,556.9107461999956,m,0.7024887000006856,560.1445166999911,560.1445166999911,20,2.476,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,5,5,7,,,,,,,,3.8,560.1445166999911,563.9469505000015,563.9469017499927,0.3049940999917453,564.3908031000028,564.3908031000028,n,0.6204105000069831,568.3417757999996,568.3417757999996,16,3.267,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,6,6,4,,,,,,,,4,568.3417757999996,572.3435770999931,572.3434951499934,0.3050453000032576,572.7876921999996,572.7876921999996,m,0.6397672000020975,576.5875679000019,576.5875679000019,22,3.101,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,7,7,9,,,,,,,,3.2,576.5875679000019,579.7891737000027,579.7891345499942,0.3052490999980364,580.2402563999931,580.2402563999931,n,0.5765856000070926,585.4574455999973,585.4574455999973,9,4.579,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,8,8,10,,,,,,,,4.6,585.4574455999973,590.0612609999953,590.0614933500023,0.3049412999971537,590.5087265000038,590.5087265000038,n,0.532917999997153,593.0286924999964,593.0286924999964,9,1.927,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,9,9,1,,,,,,,,4.5,593.0286924999964,597.5340585999948,597.5342221500017,0.3054604000062682,597.9810318999953,597.9810318999953,m,0.6359095000079833,603.1447450999985,603.1447450999985,17,4.469,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,10,10,0,,,,,,,,4.3,603.1447450999985,607.4450748999952,607.4450121499962,0.30517529998905957,607.891404199996,607.891404199996,m,0.6228069000062533,611.9484464999987,611.9484464999987,18,3.371,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,11,11,3,,,,,,,,3.5,611.9484464999987,615.4530732999992,615.4530342499914,0.30537059999187477,615.8997040999966,615.8997040999966,m,0.5013056000025244,619.7625515999971,619.7625515999971,20,3.296,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,0,12,3,,,,,,,,3.3,619.7625515999971,623.0650177999923,623.0651140499962,0.3050017000059597,623.5092721999972,623.5092721999972,m,0.5423793000081787,627.352509999997,627.352509999997,18,3.232,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,1,13,5,,,,,,,,4.2,627.352509999997,631.5525837000023,631.5527687499983,0.3051158000016585,631.9966408999899,631.9966408999899,n,0.6348695000051521,636.1404875000007,636.1404875000007,7,3.447,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,2,14,11,,,,,,,,4.7,636.1404875000007,640.8449599000014,640.8449161500015,0.3052849999949103,641.2892263999966,641.2892263999966,m,0.6406916999985697,645.121943399994,645.121943399994,17,3.129,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,3,15,2,,,,,,,,3.2,645.121943399994,648.3250948999921,648.3251158499901,0.30489949999901,648.7731270999939,648.7731270999939,m,0.794396900004358,650.7630656999972,650.7630656999972,20,1.081,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,4,16,10,,,,,,,,4.8,650.7630656999972,655.5689396999951,655.5689642499914,0.30511840000690427,656.0155633999966,656.0155633999966,n,0.653636799994274,660.0132998999907,660.0132998999907,9,3.282,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,5,17,1,,,,,,,,4.6,660.0132998999907,664.6186944999936,664.6187097499918,0.3049583999963943,665.0628484999907,665.0628484999907,m,2.1201105999934953,671.4547648000007,671.4547648000007,11,4.21,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,6,18,8,,,,,,,,4.3,671.4547648000007,675.7590110000019,675.758924549997,0.3049938999902224,676.2036389999994,676.2036389999994,n,0.5565438000048744,679.6516754999902,679.6516754999902,7,2.83,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,7,19,9,,,,,,,,3.7,679.6516754999902,683.3571286999941,683.3570276499944,0.3052754999953322,683.8044701000035,683.8044701000035,n,0.6690386999980547,686.7000124999904,686.7000124999904,7,2.172,,,sub-025,20,60,700,bloc_loop.csv,2023-06-14_12h17.40.202,PainUncertainty,2022.2.5,142.9790835826881,
